candle_end_time,open,close,high,low,volume
2020-04-01 09:30:00,6.51,6.49,6.52,6.48,7659.00
2020-04-01 09:31:00,6.49,6.44,6.49,6.43,3578.00
2020-04-01 09:32:00,6.44,6.45,6.45,6.41,6343.00
2020-04-01 09:33:00,6.45,6.47,6.49,6.45,2021.00
2020-04-01 09:34:00,6.47,6.48,6.49,6.47,1733.00
2020-04-01 09:35:00,6.48,6.50,6.50,6.47,2110.00
2020-04-01 09:36:00,6.50,6.50,6.51,6.49,2210.00
2020-04-01 09:37:00,6.50,6.51,6.51,6.49,1229.00
2020-04-01 09:38:00,6.51,6.49,6.51,6.49,1407.00
2020-04-01 09:39:00,6.49,6.47,6.49,6.47,2039.00
2020-04-01 09:40:00,6.47,6.47,6.48,6.46,1947.00
2020-04-01 09:41:00,6.47,6.46,6.47,6.44,3192.00
2020-04-01 09:42:00,6.46,6.48,6.48,6.46,2411.00
2020-04-01 09:43:00,6.48,6.49,6.50,6.48,1406.00
2020-04-01 09:44:00,6.49,6.49,6.50,6.48,1078.00
2020-04-01 09:45:00,6.49,6.48,6.50,6.48,773.00
2020-04-01 09:46:00,6.48,6.46,6.48,6.46,1554.00
2020-04-01 09:47:00,6.46,6.48,6.49,6.46,814.00
2020-04-01 09:48:00,6.48,6.47,6.48,6.47,1058.00
2020-04-01 09:49:00,6.47,6.47,6.48,6.46,1743.00
2020-04-01 09:50:00,6.47,6.47,6.48,6.46,1202.00
2020-04-01 09:51:00,6.47,6.46,6.48,6.46,981.00
2020-04-01 09:52:00,6.46,6.46,6.47,6.46,1544.00
2020-04-01 09:53:00,6.46,6.48,6.48,6.45,1922.00
2020-04-01 09:54:00,6.48,6.48,6.48,6.47,1718.00
2020-04-01 09:55:00,6.48,6.46,6.48,6.46,622.00
2020-04-01 09:56:00,6.46,6.47,6.47,6.46,1034.00
2020-04-01 09:57:00,6.47,6.48,6.48,6.47,715.00
2020-04-01 09:58:00,6.48,6.49,6.49,6.47,892.00
2020-04-01 09:59:00,6.49,6.47,6.49,6.47,1767.00
2020-04-01 10:00:00,6.47,6.49,6.49,6.47,703.00
2020-04-01 10:01:00,6.49,6.55,6.55,6.49,3080.00
2020-04-01 10:02:00,6.55,6.56,6.57,6.55,2510.00
2020-04-01 10:03:00,6.56,6.55,6.56,6.54,1261.00
2020-04-01 10:04:00,6.55,6.55,6.55,6.54,915.00
2020-04-01 10:05:00,6.54,6.56,6.56,6.54,1485.00
2020-04-01 10:06:00,6.56,6.57,6.57,6.55,717.00
2020-04-01 10:07:00,6.57,6.60,6.60,6.57,1390.00
2020-04-01 10:08:00,6.60,6.59,6.60,6.58,2581.00
2020-04-01 10:09:00,6.59,6.60,6.60,6.58,1190.00
2020-04-01 10:10:00,6.60,6.58,6.60,6.58,958.00
2020-04-01 10:11:00,6.58,6.56,6.58,6.56,973.00
2020-04-01 10:12:00,6.56,6.58,6.58,6.56,984.00
2020-04-01 10:13:00,6.58,6.57,6.59,6.57,790.00
2020-04-01 10:14:00,6.57,6.57,6.58,6.57,404.00
2020-04-01 10:15:00,6.57,6.55,6.57,6.55,764.00
2020-04-01 10:16:00,6.55,6.58,6.58,6.55,984.00
2020-04-01 10:17:00,6.58,6.57,6.58,6.57,923.00
2020-04-01 10:18:00,6.57,6.56,6.58,6.56,446.00
2020-04-01 10:19:00,6.56,6.56,6.57,6.56,152.00
2020-04-01 10:20:00,6.56,6.57,6.57,6.56,461.00
2020-04-01 10:21:00,6.57,6.57,6.57,6.56,2534.00
2020-04-01 10:22:00,6.57,6.60,6.60,6.57,877.00
2020-04-01 10:23:00,6.60,6.61,6.61,6.59,1328.00
2020-04-01 10:24:00,6.61,6.62,6.63,6.61,1344.00
2020-04-01 10:25:00,6.62,6.65,6.65,6.61,1054.00
2020-04-01 10:26:00,6.65,6.63,6.65,6.62,1972.00
2020-04-01 10:27:00,6.63,6.63,6.63,6.62,486.00
2020-04-01 10:28:00,6.63,6.63,6.63,6.62,1128.00
2020-04-01 10:29:00,6.63,6.64,6.64,6.63,706.00
2020-04-01 10:30:00,6.64,6.63,6.64,6.63,752.00
2020-04-01 10:31:00,6.63,6.63,6.64,6.63,570.00
2020-04-01 10:32:00,6.63,6.62,6.63,6.62,503.00
2020-04-01 10:33:00,6.62,6.62,6.63,6.62,564.00
2020-04-01 10:34:00,6.62,6.61,6.62,6.61,331.00
2020-04-01 10:35:00,6.61,6.61,6.62,6.61,553.00
2020-04-01 10:36:00,6.61,6.59,6.61,6.59,493.00
2020-04-01 10:37:00,6.59,6.59,6.59,6.58,214.00
2020-04-01 10:38:00,6.59,6.60,6.60,6.59,266.00
2020-04-01 10:39:00,6.60,6.59,6.60,6.59,210.00
2020-04-01 10:40:00,6.59,6.61,6.61,6.59,829.00
2020-04-01 10:41:00,6.61,6.61,6.62,6.61,283.00
2020-04-01 10:42:00,6.61,6.64,6.64,6.61,1584.00
2020-04-01 10:43:00,6.64,6.65,6.65,6.63,1049.00
2020-04-01 10:44:00,6.65,6.67,6.67,6.65,1783.00
2020-04-01 10:45:00,6.67,6.64,6.67,6.64,220.00
2020-04-01 10:46:00,6.64,6.66,6.66,6.64,905.00
2020-04-01 10:47:00,6.66,6.65,6.66,6.65,381.00
2020-04-01 10:48:00,6.65,6.65,6.65,6.64,312.00
2020-04-01 10:49:00,6.65,6.65,6.65,6.64,236.00
2020-04-01 10:50:00,6.65,6.65,6.66,6.65,648.00
2020-04-01 10:51:00,6.65,6.65,6.66,6.64,831.00
2020-04-01 10:52:00,6.65,6.65,6.65,6.64,161.00
2020-04-01 10:53:00,6.65,6.65,6.66,6.64,213.00
2020-04-01 10:54:00,6.65,6.65,6.65,6.65,143.00
2020-04-01 10:55:00,6.65,6.65,6.66,6.64,244.00
2020-04-01 10:56:00,6.65,6.64,6.66,6.64,319.00
