candle_end_time,open,close,high,low,volume
2020-04-01 09:30:00,2.03,2.02,2.03,2.01,2362.00
2020-04-01 09:31:00,2.02,2.02,2.02,2.01,316.00
2020-04-01 09:32:00,2.02,2.02,2.02,2.01,1273.00
2020-04-01 09:33:00,2.02,2.01,2.02,2.01,741.00
2020-04-01 09:34:00,2.01,2.02,2.02,2.01,1270.00
2020-04-01 09:35:00,2.02,2.02,2.02,2.01,1921.00
2020-04-01 09:36:00,2.02,2.02,2.02,2.01,519.00
2020-04-01 09:37:00,2.02,2.02,2.02,2.01,1835.00
2020-04-01 09:38:00,2.02,2.02,2.02,2.01,940.00
2020-04-01 09:39:00,2.02,2.02,2.02,2.01,107.00
2020-04-01 09:40:00,2.02,2.02,2.03,2.02,1890.00
2020-04-01 09:41:00,2.02,2.02,2.03,2.02,171.00
2020-04-01 09:42:00,2.02,2.02,2.02,2.02,730.00
2020-04-01 09:43:00,2.02,2.03,2.03,2.02,302.00
2020-04-01 09:44:00,2.03,2.02,2.03,2.02,271.00
2020-04-01 09:45:00,2.02,2.03,2.03,2.02,175.00
2020-04-01 09:46:00,2.03,2.02,2.03,2.02,213.00
2020-04-01 09:47:00,2.02,2.03,2.03,2.02,328.00
2020-04-01 09:48:00,2.03,2.03,2.03,2.02,325.00
2020-04-01 09:49:00,2.03,2.02,2.03,2.02,207.00
2020-04-01 09:50:00,2.02,2.02,2.02,2.02,10.00
2020-04-01 09:51:00,2.02,2.03,2.03,2.02,175.00
2020-04-01 09:52:00,2.03,2.03,2.03,2.03,130.00
2020-04-01 09:53:00,2.03,2.03,2.03,2.03,553.00
2020-04-01 09:54:00,2.03,2.03,2.03,2.03,569.00
2020-04-01 09:55:00,2.03,2.03,2.03,2.03,111.00
2020-04-01 09:56:00,2.03,2.02,2.03,2.02,464.00
2020-04-01 09:57:00,2.02,2.03,2.03,2.02,326.00
2020-04-01 09:58:00,2.03,2.02,2.03,2.02,1551.00
2020-04-01 09:59:00,2.02,2.02,2.03,2.02,564.00
2020-04-01 10:00:00,2.02,2.02,2.03,2.02,122.00
2020-04-01 10:01:00,2.02,2.02,2.02,2.02,1076.00
2020-04-01 10:02:00,2.02,2.03,2.03,2.02,521.00
2020-04-01 10:03:00,2.03,2.02,2.03,2.02,58.00
2020-04-01 10:04:00,2.02,2.02,2.03,2.02,90.00
2020-04-01 10:05:00,2.03,2.02,2.03,2.02,96.00
2020-04-01 10:06:00,2.02,2.02,2.02,2.02,515.00
2020-04-01 10:07:00,2.02,2.03,2.03,2.02,146.00
2020-04-01 10:08:00,2.03,2.03,2.03,2.02,14.00
2020-04-01 10:09:00,2.03,2.03,2.03,2.02,1493.00
2020-04-01 10:10:00,2.03,2.02,2.03,2.02,595.00
2020-04-01 10:11:00,2.02,2.02,2.02,2.02,879.00
2020-04-01 10:12:00,2.02,2.02,2.03,2.02,2454.00
2020-04-01 10:13:00,2.02,2.02,2.03,2.02,591.00
2020-04-01 10:14:00,2.02,2.02,2.02,2.02,144.00
2020-04-01 10:15:00,2.02,2.02,2.02,2.02,94.00
2020-04-01 10:16:00,2.02,2.02,2.03,2.02,83.00
2020-04-01 10:17:00,2.02,2.02,2.03,2.02,2272.00
2020-04-01 10:18:00,2.02,2.01,2.02,2.01,135.00
2020-04-01 10:19:00,2.01,2.01,2.01,2.01,0.00
2020-04-01 10:20:00,2.01,2.01,2.02,2.01,67.00
2020-04-01 10:21:00,2.01,2.01,2.02,2.01,126.00
2020-04-01 10:22:00,2.01,2.02,2.02,2.01,62.00
2020-04-01 10:23:00,2.02,2.02,2.02,2.02,0.00
2020-04-01 10:24:00,2.02,2.01,2.02,2.01,1040.00
