candle_end_time,open,close,high,low,volume
2020-04-01 09:30:00,4.42,4.41,4.42,4.40,41771.00
2020-04-01 09:31:00,4.41,4.41,4.41,4.40,10222.00
2020-04-01 09:32:00,4.41,4.41,4.42,4.40,7162.00
2020-04-01 09:33:00,4.41,4.40,4.41,4.40,21181.00
2020-04-01 09:34:00,4.40,4.41,4.41,4.40,6545.00
2020-04-01 09:35:00,4.40,4.40,4.41,4.40,14328.00
2020-04-01 09:36:00,4.41,4.40,4.41,4.40,15189.00
2020-04-01 09:37:00,4.41,4.40,4.41,4.40,19427.00
2020-04-01 09:38:00,4.40,4.40,4.41,4.39,16013.00
2020-04-01 09:39:00,4.39,4.39,4.40,4.39,13689.00
2020-04-01 09:40:00,4.40,4.39,4.40,4.39,8140.00
2020-04-01 09:41:00,4.39,4.39,4.40,4.39,6018.00
2020-04-01 09:42:00,4.40,4.39,4.40,4.39,14827.00
2020-04-01 09:43:00,4.39,4.39,4.39,4.38,25238.00
2020-04-01 09:44:00,4.39,4.39,4.40,4.38,11513.00
2020-04-01 09:45:00,4.39,4.39,4.39,4.38,9954.00
2020-04-01 09:46:00,4.39,4.39,4.39,4.38,8940.00
2020-04-01 09:47:00,4.39,4.39,4.39,4.38,7719.00
2020-04-01 09:48:00,4.39,4.39,4.39,4.38,10514.00
2020-04-01 09:49:00,4.38,4.39,4.39,4.38,13005.00
2020-04-01 09:50:00,4.38,4.39,4.40,4.38,22736.00
2020-04-01 09:51:00,4.40,4.41,4.41,4.39,17511.00
2020-04-01 09:52:00,4.41,4.41,4.42,4.40,13646.00
2020-04-01 09:53:00,4.41,4.41,4.42,4.40,8883.00
2020-04-01 09:54:00,4.41,4.41,4.41,4.40,4089.00
2020-04-01 09:55:00,4.41,4.42,4.42,4.41,1925.00
2020-04-01 09:56:00,4.42,4.41,4.42,4.41,2512.00
2020-04-01 09:57:00,4.41,4.42,4.42,4.41,1655.00
2020-04-01 09:58:00,4.42,4.42,4.42,4.41,3101.00
2020-04-01 09:59:00,4.42,4.42,4.42,4.41,2471.00
2020-04-01 10:00:00,4.42,4.42,4.42,4.41,4339.00
2020-04-01 10:01:00,4.42,4.41,4.42,4.41,2657.00
2020-04-01 10:02:00,4.41,4.41,4.42,4.41,7712.00
2020-04-01 10:03:00,4.41,4.41,4.42,4.41,2853.00
2020-04-01 10:04:00,4.41,4.42,4.42,4.41,2481.00
2020-04-01 10:05:00,4.42,4.42,4.42,4.41,2867.00
2020-04-01 10:06:00,4.42,4.42,4.42,4.41,1745.00
2020-04-01 10:07:00,4.42,4.41,4.42,4.41,5833.00
2020-04-01 10:08:00,4.41,4.41,4.42,4.41,6689.00
2020-04-01 10:09:00,4.41,4.42,4.42,4.41,4156.00
2020-04-01 10:10:00,4.42,4.42,4.42,4.41,2792.00
2020-04-01 10:11:00,4.42,4.41,4.42,4.41,2586.00
2020-04-01 10:12:00,4.41,4.42,4.42,4.41,2229.00
2020-04-01 10:13:00,4.42,4.41,4.42,4.41,2288.00
2020-04-01 10:14:00,4.41,4.41,4.42,4.41,3457.00
2020-04-01 10:15:00,4.42,4.41,4.42,4.41,12661.00
2020-04-01 10:16:00,4.41,4.41,4.41,4.40,1321.00
2020-04-01 10:17:00,4.41,4.41,4.41,4.40,1769.00
2020-04-01 10:18:00,4.41,4.41,4.41,4.40,2746.00
2020-04-01 10:19:00,4.41,4.41,4.41,4.40,2405.00
